sepal_length,sepal_width,petal_length,petal_width,id,target,created_timestamp,event_timestamp
5.1,3.5,1.4,0.2,0,0,2022-07-14 18:08:05.487499,2022-07-14 18:08:05.488248
4.9,3.0,1.4,0.2,1,0,2022-07-14 18:08:05.487499,2022-07-14 18:08:05.488248
4.7,3.2,1.3,0.2,2,0,2022-07-14 18:08:05.487499,2022-07-14 18:08:05.488248
4.6,3.1,1.5,0.2,3,0,2022-07-14 18:08:05.487499,2022-07-14 18:08:05.488248
5.0,3.6,1.4,0.2,4,0,2022-07-14 18:08:05.487499,2022-07-14 18:08:05.488248
5.4,3.9,1.7,0.4,5,0,2022-07-14 18:08:05.487499,2022-07-14 18:08:05.488248
4.6,3.4,1.4,0.3,6,0,2022-07-14 18:08:05.487499,2022-07-14 18:08:05.488248
5.0,3.4,1.5,0.2,7,0,2022-07-14 18:08:05.487499,2022-07-14 18:08:05.488248
4.4,2.9,1.4,0.2,8,0,2022-07-14 18:08:05.487499,2022-07-14 18:08:05.488248
4.9,3.1,1.5,0.1,9,0,2022-07-14 18:08:05.487499,2022-07-14 18:08:05.488248
5.4,3.7,1.5,0.2,10,0,2022-07-14 18:08:05.487499,2022-07-14 18:08:05.488248
4.8,3.4,1.6,0.2,11,0,2022-07-14 18:08:05.487499,2022-07-14 18:08:05.488248
4.8,3.0,1.4,0.1,12,0,2022-07-14 18:08:05.487499,2022-07-14 18:08:05.488248
4.3,3.0,1.1,0.1,13,0,2022-07-14 18:08:05.487499,2022-07-14 18:08:05.488248
5.8,4.0,1.2,0.2,14,0,2022-07-14 18:08:05.487499,2022-07-14 18:08:05.488248
5.7,4.4,1.5,0.4,15,0,2022-07-14 18:08:05.487499,2022-07-14 18:08:05.488248
5.4,3.9,1.3,0.4,16,0,2022-07-14 18:08:05.487499,2022-07-14 18:08:05.488248
5.1,3.5,1.4,0.3,17,0,2022-07-14 18:08:05.487499,2022-07-14 18:08:05.488248
5.7,3.8,1.7,0.3,18,0,2022-07-14 18:08:05.487499,2022-07-14 18:08:05.488248
5.1,3.8,1.5,0.3,19,0,2022-07-14 18:08:05.487499,2022-07-14 18:08:05.488248
5.4,3.4,1.7,0.2,20,0,2022-07-14 18:08:05.487499,2022-07-14 18:08:05.488248
5.1,3.7,1.5,0.4,21,0,2022-07-14 18:08:05.487499,2022-07-14 18:08:05.488248
4.6,3.6,1.0,0.2,22,0,2022-07-14 18:08:05.487499,2022-07-14 18:08:05.488248
5.1,3.3,1.7,0.5,23,0,2022-07-14 18:08:05.487499,2022-07-14 18:08:05.488248
4.8,3.4,1.9,0.2,24,0,2022-07-14 18:08:05.487499,2022-07-14 18:08:05.488248
5.0,3.0,1.6,0.2,25,0,2022-07-14 18:08:05.487499,2022-07-14 18:08:05.488248
5.0,3.4,1.6,0.4,26,0,2022-07-14 18:08:05.487499,2022-07-14 18:08:05.488248
5.2,3.5,1.5,0.2,27,0,2022-07-14 18:08:05.487499,2022-07-14 18:08:05.488248
5.2,3.4,1.4,0.2,28,0,2022-07-14 18:08:05.487499,2022-07-14 18:08:05.488248
4.7,3.2,1.6,0.2,29,0,2022-07-14 18:08:05.487499,2022-07-14 18:08:05.488248
4.8,3.1,1.6,0.2,30,0,2022-07-14 18:08:05.487499,2022-07-14 18:08:05.488248
5.4,3.4,1.5,0.4,31,0,2022-07-14 18:08:05.487499,2022-07-14 18:08:05.488248
5.2,4.1,1.5,0.1,32,0,2022-07-14 18:08:05.487499,2022-07-14 18:08:05.488248
5.5,4.2,1.4,0.2,33,0,2022-07-14 18:08:05.487499,2022-07-14 18:08:05.488248
4.9,3.1,1.5,0.2,34,0,2022-07-14 18:08:05.487499,2022-07-14 18:08:05.488248
5.0,3.2,1.2,0.2,35,0,2022-07-14 18:08:05.487499,2022-07-14 18:08:05.488248
5.5,3.5,1.3,0.2,36,0,2022-07-14 18:08:05.487499,2022-07-14 18:08:05.488248
4.9,3.6,1.4,0.1,37,0,2022-07-14 18:08:05.487499,2022-07-14 18:08:05.488248
4.4,3.0,1.3,0.2,38,0,2022-07-14 18:08:05.487499,2022-07-14 18:08:05.488248
5.1,3.4,1.5,0.2,39,0,2022-07-14 18:08:05.487499,2022-07-14 18:08:05.488248
5.0,3.5,1.3,0.3,40,0,2022-07-14 18:08:05.487499,2022-07-14 18:08:05.488248
4.5,2.3,1.3,0.3,41,0,2022-07-14 18:08:05.487499,2022-07-14 18:08:05.488248
4.4,3.2,1.3,0.2,42,0,2022-07-14 18:08:05.487499,2022-07-14 18:08:05.488248
5.0,3.5,1.6,0.6,43,0,2022-07-14 18:08:05.487499,2022-07-14 18:08:05.488248
5.1,3.8,1.9,0.4,44,0,2022-07-14 18:08:05.487499,2022-07-14 18:08:05.488248
4.8,3.0,1.4,0.3,45,0,2022-07-14 18:08:05.487499,2022-07-14 18:08:05.488248
5.1,3.8,1.6,0.2,46,0,2022-07-14 18:08:05.487499,2022-07-14 18:08:05.488248
